                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1613,                 1.5833,                  1.733,                 1.1097,                0.98496,                0.98266,                 0.9882,                0.77965,                0.98496,                0.98266,                0.98739,                0.78333,                0.79186,                 1.1075,                 1.0296,                0.99772,             0.00066396,             0.00066396,             0.00066396
                      2,                0.95685,                 1.1137,                0.85476,                 1.0319,                0.98535,                0.97172,                0.98773,                0.75703,                0.98535,                0.97172,                0.98147,                0.77788,                0.83438,                 1.0203,                0.63414,                 1.0275,              0.0012977,              0.0012977,              0.0012977
                      3,                0.94549,                 1.1136,                0.66416,                 1.0334,                0.98747,                0.98844,                 0.9846,                0.79551,                0.98458,                0.98555,                 0.9835,                0.79988,                0.76215,                 1.0022,                0.52372,                0.99095,              0.0018984,              0.0018984,              0.0018984
                      4,                0.92437,                 1.1089,                  0.592,                  1.024,                0.98657,                0.98266,                0.99076,                0.79047,                0.98553,                0.98404,                0.99076,                0.78999,                0.79198,                 1.0669,                0.42259,                 1.0031,              0.0018515,              0.0018515,              0.0018515
                      5,                0.90616,                 1.0782,                 0.5523,                  1.019,                0.99708,                0.98713,                0.99236,                0.79703,                0.99646,                0.98555,                0.99235,                0.80079,                0.74549,                 1.0617,                0.39912,                0.97668,              0.0018515,              0.0018515,              0.0018515
                      6,                0.87086,                 1.0251,                 0.5113,                 1.0046,                0.99415,                0.98175,                 0.9921,                 0.8107,                0.99415,                0.98175,                0.99289,                0.82679,                 0.7869,                0.98915,                0.37473,                0.99354,               0.001802,               0.001802,               0.001802
                      7,                0.86437,                 1.0333,                 0.4845,                0.99652,                0.98802,                0.99133,                0.99243,                0.81313,                0.98802,                0.99133,                0.99243,                0.82434,                0.72531,                0.95237,                0.35554,                0.97154,              0.0017525,              0.0017525,              0.0017525
                      8,                0.86086,                 1.0199,                0.47843,                0.98602,                0.98844,                0.98818,                0.98332,                0.82431,                0.98844,                0.98818,                0.98332,                 0.8153,                0.68722,                0.94384,                0.34617,                0.95521,               0.001703,               0.001703,               0.001703
                      9,                0.82895,                 0.9633,                0.45078,                0.98308,                0.99385,                0.99133,                0.99414,                0.84225,                0.99385,                0.99133,                0.99414,                0.83947,                0.68592,                0.90778,                0.32543,                0.95433,              0.0016535,              0.0016535,              0.0016535
                     10,                0.82174,                0.97537,                0.44819,                0.98503,                0.99359,                0.99711,                0.99317,                0.82277,                0.99359,                0.99711,                0.99317,                0.82342,                0.72573,                0.90963,                0.34926,                0.96124,               0.001604,               0.001604,               0.001604
